# chi2_tot  chi2_prior  chi2_data
   3446.78    0.474402    3446.31
   3553.96     1.64181    3552.32
   3618.15    0.549696     3617.6
   3571.98    0.605226    3571.37
   3519.25     2.93273    3516.32
   3530.33     1.72724     3528.6
   3563.56     1.31516    3562.24
   3482.85    0.522521    3482.33
   3632.44    0.406083    3632.03
   3429.37     2.07047     3427.3
   3617.14     1.97134    3615.17
   3586.47    0.938585    3585.54
   3658.66     1.51632    3657.14
   3637.76    0.884755    3636.87
   3485.22    0.619044     3484.6
   3387.91    0.813957     3387.1
   3540.05    0.599969    3539.45
    3596.4    0.682291    3595.72
   3680.24    0.388621    3679.85
   3487.22    0.599502    3486.62
   3581.31     1.75634    3579.55
   3597.22    0.810793    3596.41
   3629.13    0.941233    3628.19
   3559.88     0.24099    3559.64
   3602.35    0.500762    3601.85
   3519.57    0.603903    3518.97
   3588.11    0.530179    3587.58
   3618.39     1.37961    3617.01
   3423.58     1.75693    3421.82
   3411.76     0.47762    3411.28
   3440.63    0.471032    3440.16
   3620.71    0.610545     3620.1
   3623.19     1.60722    3621.58
   3512.01    0.358603    3511.65
    3451.3    0.394871     3450.9
   3579.92    0.760898    3579.16
   3530.31     0.97003    3529.34
   3726.78     2.68486     3724.1
   3446.02    0.540542    3445.48
   3637.16    0.207764    3636.96
   3433.47    0.468943    3433.01
   3483.83    0.517106    3483.32
   3576.35    0.700634    3575.65
   3632.91    0.233521    3632.68
   3529.33      0.2348     3529.1
   3516.21    0.541868    3515.67
   3562.87    0.995766    3561.87
   3532.92     3.02172     3529.9
   3618.73    0.726287    3618.01
   3747.38    0.758141    3746.62
   3616.55     0.41506    3616.13
      3607     0.85565    3606.14
   3515.63      1.0264     3514.6
   3564.64    0.455987    3564.19
   3510.17    0.705525    3509.46
   3606.12     1.60191    3604.52
   3519.24    0.701185    3518.53
   3550.26    0.433091    3549.83
   3669.46    0.367522     3669.1
   3630.46     1.46226       3629
   3532.07      1.3091    3530.76
   3559.18    0.604953    3558.58
    3712.2    0.318363    3711.88
   3547.19    0.749485    3546.44
   3481.79    0.502446    3481.29
    3538.1    0.998195     3537.1
   3512.83    0.465081    3512.36
   3513.62     0.50494    3513.11
   3463.23    0.370927    3462.85
   3578.97    0.766106     3578.2
   3577.35     1.20009    3576.15
   3502.91    0.348469    3502.56
   3471.54    0.878334    3470.66
   3733.69    0.220963    3733.47
   3489.81     1.69076    3488.12
    3564.3     2.28597    3562.02
   3415.36     1.28539    3414.07
   3496.65     0.42025    3496.23
   3520.86     2.32968    3518.53
   3536.03     1.13592    3534.89
    3493.1    0.272772    3492.82
   3586.51    0.989229    3585.52
   3609.54     1.00549    3608.54
   3581.99    0.787452    3581.21
   3584.34    0.789414    3583.55
   3542.29    0.426746    3541.86
   3507.49    0.759514    3506.73
   3362.04    0.638464    3361.41
    3504.8    0.720387    3504.08
   3543.85    0.725885    3543.13
   3619.78     1.64515    3618.13
   3493.39     1.15612    3492.24
   3484.46    0.849038    3483.61
   3498.37    0.509985    3497.86
   3507.06    0.316845    3506.74
   3517.13    0.823854    3516.31
