# chi2_tot  chi2_prior  chi2_data
   743.165    0.541695    742.623
   821.323    0.349598    820.973
   748.933    0.336474    748.596
   773.604    0.607278    772.997
    846.35    0.965383    845.384
   734.089    0.689636    733.399
   756.591    0.859494    755.731
   794.092    0.204702    793.887
   779.864      0.3181    779.546
   841.507    0.235837    841.272
   766.661    0.878116    765.783
    866.64    0.357005    866.283
   796.003     0.15086    795.852
   800.525     0.81076    799.715
   738.572    0.962947    737.609
   737.962    0.766685    737.195
   815.135    0.775561    814.359
   796.923    0.467219    796.456
   772.289    0.993659    771.295
    765.44    0.495995    764.944
   777.759     0.77554    776.984
   854.425    0.304071    854.121
   763.738    0.295338    763.443
   786.628      1.3567    785.271
   756.583    0.359335    756.224
   780.362    0.603664    779.758
   800.394    0.413207    799.981
   849.971    0.585803    849.385
   718.787    0.232663    718.554
   781.191    0.502302    780.689
   802.777    0.286535     802.49
   788.781     0.56678    788.214
   806.295     1.50434    804.791
   735.578    0.313232    735.265
   814.833    0.938288    813.894
   762.365    0.543367    761.822
   727.096    0.367158    726.729
   851.494    0.573057    850.921
   762.972    0.583695    762.388
    872.67    0.535142    872.135
   771.343    0.263353    771.079
   789.895    0.253272    789.642
   777.577    0.253152    777.324
   803.611     1.11562    802.495
   738.434    0.354542    738.079
   861.035     0.26399    860.771
   745.824     2.01181    743.812
   779.965     0.77567    779.189
   727.622    0.118658    727.504
   767.454    0.100252    767.354
    745.05    0.354068    744.696
   719.749     1.44835    718.301
   815.325    0.190932    815.134
   798.528    0.156313    798.372
    813.57    0.553918    813.016
   780.521    0.191782     780.33
   760.869    0.405772    760.463
   759.275    0.474931      758.8
   812.882    0.278827    812.604
    750.81    0.244461    750.566
   794.762    0.980231    793.781
   782.822    0.491303    782.331
   764.183    0.961399    763.222
   781.584    0.215608    781.368
   773.863    0.310374    773.552
    805.14     0.48031    804.659
   785.324    0.967285    784.356
     794.1     1.16942    792.931
   746.905    0.334294     746.57
    843.97    0.838827    843.131
   845.922    0.172148     845.75
   792.735    0.339404    792.395
   817.198    0.228619    816.969
   776.401     0.19868    776.202
   746.934    0.232353    746.702
   830.111     1.82729    828.283
   786.694     1.15649    785.537
    844.93    0.245863    844.684
   820.477    0.448985    820.028
   828.911     0.71563    828.196
    861.36    0.413557    860.947
    774.04     1.00417    773.036
   825.823    0.563728     825.26
   798.196    0.518084    797.678
   805.138    0.250628    804.888
   811.097    0.353603    810.743
   796.709    0.256691    796.452
   844.729     1.87531    842.854
   741.829     1.26447    740.565
   781.748    0.217693    781.531
   766.752    0.267942    766.484
   772.412    0.281178    772.131
   801.303    0.123951    801.179
   834.074    0.348073    833.726
    784.01     2.10203    781.908
   807.092    0.159472    806.932
   748.293     1.14897    747.144
   750.978     0.55218    750.426
   756.016    0.488281    755.528
   851.047    0.537915     850.51
   764.553    0.682495    763.871
   795.798    0.211466    795.586
   767.816    0.558298    767.257
   826.883    0.329043    826.554
   770.977      0.7971     770.18
    808.26    0.471361    807.789
   833.152      1.4943    831.658
   770.478     0.76088    769.717
   752.818    0.902072    751.916
   819.583    0.212325    819.371
   752.037     1.12317    750.914
   810.249    0.132506    810.117
   771.323    0.391718    770.932
   780.518     2.21192    778.306
    776.03    0.361963    775.668
   831.952    0.588117    831.364
   790.804     1.38663    789.417
    776.87     1.02341    775.847
   806.325    0.613603    805.711
   800.893    0.574068    800.319
   747.363    0.372764     746.99
   821.878    0.108684    821.769
   770.192    0.172634    770.019
   764.406    0.349528    764.057
   724.622     1.10313    723.518
   722.204    0.359661    721.844
    742.57    0.438047    742.131
   708.891     1.19203    707.699
   829.143     1.30347     827.84
   744.397    0.234063    744.163
   789.119    0.985249    788.134
   791.552    0.273412    791.279
   799.114    0.172301    798.942
   826.032    0.324118    825.708
   807.755    0.290954    807.464
   784.162    0.236557    783.926
   696.957    0.194776    696.762
   818.585    0.416288    818.169
   832.221    0.703031    831.518
   804.197    0.292978    803.904
    726.47    0.460654     726.01
   754.716    0.529506    754.186
   752.786    0.446117     752.34
   830.257    0.682237    829.575
   811.151    0.762099    810.389
   771.074    0.707187    770.367
   848.442    0.145689    848.296
   804.938    0.952668    803.985
   783.893    0.753246    783.139
     756.1    0.447599    755.653
   767.385    0.826262    766.559
   838.524    0.531552    837.992
   768.075    0.128106    767.947
   782.217    0.601196    781.616
   764.276    0.332103    763.944
    774.37    0.323133    774.046
   829.555    0.460707    829.095
    815.92    0.901779    815.018
   793.793    0.824452    792.968
    831.35    0.367342    830.983
   831.228     0.57735    830.651
   752.664     1.00758    751.656
   784.052    0.304146    783.748
   829.846     1.44512    828.401
    762.95    0.502019    762.448
   711.638     0.56354    711.074
   727.709    0.707493    727.001
   685.757    0.497666     685.26
   818.256    0.272349    817.984
   740.978     0.62708    740.351
   730.757    0.264496    730.493
   780.727    0.225809    780.502
